tempo,energy,danceability,loudness,acousticness,instrumentalness,key,genre
141.2,0.806,0.569,-7.55,0.126,0.11,Bb,Rock
86.3,0.341,0.128,-5.14,0.925,0.992,Am,Classical
120.2,0.755,0.742,-9.32,0.253,0.149,C,Pop
87.3,0.348,0.301,-17.67,0.739,0.827,E,Classical
67.6,0.267,0.053,-26.64,0.951,0.855,A,Classical
91.7,0.258,0.311,-16.05,0.953,0.847,E,Classical
148.7,0.734,0.667,-5.01,0.059,0.129,C,Rock
125.6,0.849,0.6,-7.24,0.073,0.102,D,Rock
76.1,0.317,0.289,-11.26,0.728,0.846,Em,Classical
137.3,0.914,0.556,-5.43,0.13,0.168,D,Rock
148.9,0.899,0.418,-2.99,0.139,0.165,A,Rock
85.6,0.344,0.226,-19.4,0.904,0.854,A,Classical
84.1,0.26,0.181,-12.67,0.795,0.841,E,Classical
127.2,0.636,0.729,-9.59,0.114,0.0,D,Pop
132.8,0.833,0.582,-4.65,0.029,0.321,A,Rock
129.7,0.77,0.828,-7.92,0.075,0.106,Bb,Rock
144.3,0.859,0.66,-5.05,0.207,0.096,E,Rock
111.3,0.702,0.773,-4.92,0.157,0.0,C,Pop
85.8,0.386,0.203,-12.68,0.91,0.82,D,Classical
103.7,0.766,0.818,-11.96,0.134,0.0,C,Pop
118.2,0.227,0.264,-20.06,0.839,0.922,C,Classical
66.3,0.5,0.258,-15.33,0.773,0.861,Em,Classical
117.5,0.593,0.728,-6.9,0.168,0.093,C,Pop
140.7,0.84,0.465,-4.8,0.075,0.103,G,Rock
92.4,0.213,0.07,-17.64,0.82,0.995,E,Classical
151.7,0.841,0.686,-0.71,0.213,0.096,D,Rock
91.1,0.453,0.313,-15.02,0.768,0.871,F,Classical
122.9,0.931,0.549,-7.08,0.0,0.319,E,Rock
85.4,0.461,0.329,-25.06,0.901,0.897,G,Classical
99.7,0.665,0.793,-1.31,0.127,0.162,G,Pop
129.0,0.814,0.613,-2.18,0.06,0.026,E,Rock
82.5,0.456,0.244,-20.3,0.716,0.847,D,Classical
152.5,0.884,0.356,-10.95,0.104,0.157,A,Rock
142.1,0.859,0.513,-2.09,0.045,0.128,Am,Rock
133.2,0.799,0.856,-9.83,0.0,0.123,Bb,Rock
113.1,0.706,0.647,-3.56,0.093,0.077,Am,Pop
101.2,0.816,0.822,-13.86,0.123,0.046,D,Pop
146.2,0.957,0.547,-6.44,0.059,0.113,Am,Rock
138.6,0.901,0.641,-5.83,0.09,0.282,Bb,Rock
93.6,0.173,0.217,-17.73,0.889,0.87,Em,Classical
69.4,0.301,0.143,-16.26,0.812,0.809,C,Classical
107.7,0.644,0.773,-5.72,0.15,0.052,Am,Pop
71.6,0.381,0.0,-19.12,0.678,0.941,E,Classical
147.9,0.91,0.454,-2.18,0.127,0.293,Am,Rock
146.1,0.878,0.622,-3.85,0.014,0.196,F,Rock
127.6,0.658,0.718,-6.22,0.214,0.207,Am,Pop
98.5,0.476,0.161,-7.95,0.788,0.886,F,Classical
121.1,0.78,0.824,-2.99,0.173,0.0,Em,Pop
87.1,0.485,0.271,-26.77,0.903,0.804,C,Classical
113.9,0.732,0.762,-6.56,0.175,0.043,E,Pop
106.9,0.767,0.691,-5.74,0.171,0.091,E,Pop
119.0,0.867,0.802,-7.44,0.135,0.015,Em,Pop
110.5,0.652,0.815,-3.53,0.048,0.067,C,Pop
113.1,0.759,0.7,-1.93,0.115,0.208,F,Pop
111.3,0.898,0.723,-1.39,0.218,0.0,A,Pop
119.3,0.727,0.627,-7.94,0.186,0.063,C,Pop
111.2,0.702,0.774,-4.92,0.113,0.0,A,Pop
116.9,0.749,0.703,-6.11,0.101,0.039,Bb,Pop
81.0,0.439,0.336,-16.5,0.98,0.913,F,Classical
147.4,0.848,0.547,-6.25,0.136,0.238,E,Rock
